date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:58	552/552	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:977d56d37aa1a41c9e2c25a28999447f%22	https://www.olly.com/robots.txt		(from )
14:18:58	404087/404087	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:3359df2117329b182d15b6c009e8a431%22	https://www.olly.com/	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/index.html	(from )
14:18:59	0/0	---MCZ	404	error ('Not%20Found')	text/javascript	etag:W/%22cacheable:c23612d7a93d38e48d402288b3a5b56a%22	https://www.olly.com/boot.js	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/boot.js	(from https://www.olly.com/)
14:18:59	18/18	---M--	308	error ('Permanent%20Redirect')	text/plain	date:Mon,%2017%20Mar%202025%2019:18:59%20GMT	https://global.ketchcdn.com/web/v1/config/organization_code/property_code/boot.js	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/global.ketchcdn.com/web/v1/config/organization_code/property_code/boot.1.delayed	(from https://www.olly.com/)
14:19:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:18:59%20GMT	http://www.olly.com/cdn/shop/t/219/assets/manual_orchestration.js?v=56331370063372392051740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/manual_orchestration.367b2.delayed	(from https://www.olly.com/)
14:19:00	2361/2361	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2004%20Mar%202025%2022:32:31%20GMT	https://www.olly.com/cdn/shop/t/219/assets/manual_orchestration.js?v=56331370063372392051740759357	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/manual_orchestration67b2.js	(from https://www.olly.com/)
14:19:00	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2017%20Mar%202025%2019:19:00%20GMT	https://www.olly.com/checkout	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/checkout	(from https://www.olly.com/)
14:19:01	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	etag:%22d760a830700a338afb021588e311e055:1699303088.204749%22	https://cloud.typography.com/6075534/6250552/css/fonts.css	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/cloud.typography.com/6075534/6250552/css/fonts.7.delayed	(from https://www.olly.com/)
14:19:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Mar%202025%2019:19:01%20GMT	http://www.olly.com/cdn/shop/t/219/assets/layout.theme.css?v=149559783163813022161740761106	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/www.olly.com/cdn/shop/t/219/assets/layout.themee227.css	(from https://www.olly.com/)
14:19:03	280500/280500	---M--	200	added ('OK')	text/css	etag:%22a2f9a183bd1b621dbd9b0573a330bf47%22	https://olly-web.s3.amazonaws.com/fonts/868658/3F2E13D18221180FB.css	C:/Users/Javier%20Chacon/Documents/Projects/VelvetGreens/WebDev/Olly_Velvet/olly-web.s3.amazonaws.com/fonts/868658/3F2E13D18221180FB.css	(from https://www.olly.com/)
